text,label
"URGENT: Your account has been locked. Click here to verify.",1
"Hey, are we still going to the movies tonight?",0
"Congratulations! You won a $1000 Amazon Gift Card.",1
"Can you send me the meeting notes from yesterday?",0
"Security Alert: Unusual login detected from Russia.",1
"Happy birthday! Hope you have a wonderful day.",0
"FINAL NOTICE: Update your payment information immediately.",1
"I will be late for the stand-up meeting, sorry.",0
"Win a brand new iPhone 15 Pro! Claim now.",1
"Did you remember to buy milk?",0
"HR: Please review the attached document regarding your salary.",1
"Let's grab lunch at the usual place.",0
"PayPal: You received a payment of $500. Log in to accept.",1
"What time is the football match starting?",0
"Your package delivery failed. Pay shipping fee to reschedule.",1
"Mom called, she wants you to call her back.",0
"IRS Warning: You have unpaid taxes. Action required.",1
"The project deadline has been extended to Friday.",0
"Click here to reset your password immediately.",1
"Are you free for a quick call?",0
"Exclusive offer: 90% discount on all items.",1
"I attached the presentation you asked for.",0
"Verify your bank account now to avoid suspension.",1
"See you at the office tomorrow morning.",0
"You have 1 new voicemail. Listen here.",1
"Thanks for your help with the report.",0
"Access denied. Please update your credentials.",1
"Good morning, how are you today?",0
"Suspicious activity on your credit card. Confirm transaction.",1
"Can we reschedule our appointment?",0
"CEO Request: I need you to make a wire transfer urgently.",1
"Don't forget to walk the dog.",0
"Your subscription has expired. Renew now.",1
"I left my keys at your place.",0
"Warning: Your computer is infected with a virus.",1
"Let's meet at 5 PM near the park.",0
"Claim your inheritance from a distant relative.",1
"Have a safe flight!",0
"Your Apple ID has been compromised. Secure it now.",1
"Do you want coffee?",0
"Netflix: Your payment was declined.",1
"The weather looks great for a hike.",0
"Investment opportunity: Double your money in 24 hours.",1
"Please review the code changes on GitHub.",0
"Microsoft Security: Call this number to fix your PC.",1
"I am stuck in traffic, will be there soon.",0
"You have been selected for a cash prize survey.",1
"Did you watch the last episode?",0
"Bank of America: New payee added. Was this you?",1
"Can you pick up the kids from school?",0
"Free Bitcoin giveaway! Click to participate.",1
"I need to take a sick day tomorrow.",0
"Your email storage is full. Upgrade quota now.",1
"Sounds good, see you then.",0
"FedEx: Your tracking number cannot be found.",1
"Where did you buy those shoes?",0
"Validate your identity to keep your account active.",1
"I love this song!",0
"Job Offer: Work from home and earn $5000/week.",1
"Can you help me move this couch?",0
"Server maintenance scheduled for tonight.",1
"Don't forget the umbrella, it's raining.",0
"Alert: Someone tried to change your password.",1
"Let's play video games tonight.",0
"Confirm your email address to complete registration.",1
"I finished reading the book you recommended.",0
"Refund processed. Click to view details.",1
"Are you coming to the party?",0
"Your cloud storage will be deleted in 24 hours.",1
"Please sign the birthday card for Sarah.",0
"Warning: Phishing attempt detected on your account.",1
"I made pasta for dinner.",0
"Lottery Winner! Contact us to claim your jackpot.",1
"Can I borrow your charger?",0
"Important: Policy update requires your signature.",1
"The meeting room has changed to 304.",0
"Unauthorized access blocked. secure-link.com/verify",1
"Did you water the plants?",0
"Your Facebook account will be disabled.",1
"Let's confirm the reservation.",0
"Crypto Alert: Your wallet is being drained.",1
"How was your vacation?",0
"Amazon: Order #1234 cancelled. Update payment.",1
"I will send the invoice later today.",0
"Click to unsubscribe from this list.",1
"Happy anniversary!",0
"Your device is at risk. Install antivirus.",1
"Can you proofread this email for me?",0
"Dear Customer, your access is limited.",1
"Running late, start without me.",0
"Instant loan approval! No credit check.",1
"What do you want for lunch?",0
"Verify your mobile number to win data.",1
"I passed the exam!",0
"Account hacking tool available. Download now.",1
"Let's go for a run.",0
"Your Gmail is outdated. Update here.",1
"Can you send me the wifi password?",0
"Deposit received. Log in to view balance.",1
"Nice to meet you yesterday.",0
"Suspended Profile. Reactivate immediately.",1
"I need a break.",0
"Free vacation package to Bahamas. Claim now.",1
"Call me when you are free.",0
"Your iCloud photos are syncing to a new device.",1
"Are you busy right now?",0
"Cheap pharmacy drugs online. No prescription.",1
"See you in 10 minutes.",0
"Make money online fast. Guaranteed.",1
"The printer is out of paper.",0
"Ticket confirmation for your flight.",1
"Did you lock the door?",0
"Your LinkedIn profile appeared in 5 searches.",1
"I really like your new haircut.",0
"Zoom: Meeting has started. Join now.",1
"Can we talk later?",0
"Unknown device connected to your WiFi.",1
"Hope you feel better soon.",0
"URGENT: Your account is locked. Verify at http://secure-bank-verify.com/login",1
"Hey, are we still going to the movies tonight?",0
"Congratulations! You won a prize. Claim here: www.free-amazon-gifts.net/winner",1
"Can you send me the meeting notes from yesterday?",0
